Unnamed: 0,time,relative_time,force,smooth_force,derivative,stroke_number,force_peak,normalized_force,frame,displacement,velocity,modeled_force
5308,102.968,0.0319999999999964,29.634189550774384,29.68485617285524,-0.2086300688018596,23,29.70342687888045,29.62817178362403,25742,-0.0109535869417459,-0.2874663912350557,29.376872809271333
5309,102.972,0.0360000000000013,28.39018772119651,28.245172705204645,-0.4876814507427465,23,29.70342687888045,28.38416995404616,25743,-0.0107525625999048,-0.1963519035160068,26.83664863235241
5310,102.976,0.039999999999992,25.47086955908493,25.528550134958778,-0.8797630552377722,23,29.70342687888045,25.46485179193458,25744,-0.0104539611745894,-0.1128202138199261,23.46015791617614
5311,102.98,0.0439999999999969,21.440349032779256,21.4390658311235,-1.126289905312408,23,29.70342687888045,21.434331265628902,25745,-0.010342780984287,-0.056293618102434,22.31357139758266
5312,102.984,0.0480000000000018,16.889981026595237,16.883049091877194,-1.0920072548888395,23,29.70342687888045,16.883963259444883,25746,-0.0100488595423817,-0.0009644704634599,19.542717055579605
5313,102.988,0.0519999999999925,12.7175807295804,12.71793526364618,-0.9841640773785274,23,29.70342687888045,12.71156296243005,25747,-0.0092315805719078,0.0795684453014988,13.501208641227894
5314,102.992,0.0559999999999973,9.163776232857488,9.16017268511475,-0.7808678942223475,23,29.70342687888045,9.157758465707134,25748,-0.0086279604627761,0.1264055313362415,10.25984487571872
5315,102.996,0.059999999999988,6.452170055064114,6.449235888803689,-0.5817004454660126,23,29.70342687888045,6.446152287913762,25749,-0.0069414950228318,0.2335806013991672,4.715228827780843
5316,103.0,0.0639999999999929,4.486283952118061,4.486831627876338,-0.4076506769563424,23,29.70342687888045,4.480266184967709,25750,-0.0061742673810774,0.2583919537560454,3.283329765295992
5317,103.004,0.0679999999999978,3.1355885349669044,3.1376416576162445,-0.2777721489499694,23,29.70342687888045,3.1295707678165523,25751,-0.0053172542378578,0.2782849957859863,2.168847173264101
5318,103.008,0.0719999999999885,2.211667468108886,2.2105800539222,-0.1909906761432505,23,29.70342687888045,2.205649700958534,25752,-0.0044067833262786,0.2921260978160345,1.3701520089240904
5319,103.012,0.0759999999999934,1.578316171663218,1.5759058691715486,-0.131267560726602,23,29.70342687888045,1.5722984045128656,25753,-0.0035197486390217,0.2961405724326074,0.8493366952363007
5320,103.016,0.0799999999999983,1.1379213633820005,1.1360269873292723,-0.0906773788648864,23,29.70342687888045,1.1319035962316482,25754,-0.0026790572817557,0.2902319148810443,0.513881376893539
5321,103.02,0.0839999999999889,0.8405413639756113,0.8399354811319331,-0.060899163119776,23,29.70342687888045,0.834523596825259,25755,-0.0019794948959908,0.2724584358810894,0.3162955483307738
5322,103.024,0.0879999999999938,0.6362344941544279,0.6403724887724089,-0.0402409393492009,23,29.70342687888045,0.6302167270040756,25756,-0.0013107022963212,0.251911110541669,0.17715823411199977
5323,103.028,0.0919999999999987,0.5102452577646982,0.5093033612915538,-0.0273427783756414,23,29.70342687888045,0.5042274906143459,25757,-0.0007122519022167,0.2275267844534586,0.08339472173946566
5324,103.032,0.0959999999999894,0.4114969373511262,0.4172356268181328,-0.0172491406086403,23,29.70342687888045,0.405479170200774,25758,9.282053925560584e-05,0.21726939395993,-0.0090432048675963
5325,103.036,0.0999999999999943,0.3672304488898699,0.3654366123483176,-0.0109363176172735,23,29.70342687888045,0.3612126817395176,25759,0.0004805626016743,0.1818946353161766,-0.04301779669105332
5326,103.04,0.1039999999999992,0.3138836551032276,0.318873589789615,-0.0118319129997453,23,29.70342687888045,0.3078658879528753,25760,0.0004745191194446,0.1270404682398729,-0.04253210428859874
5327,103.044,0.1079999999999898,0.28323762463005,0.2839414012083006,-0.0053881240661854,23,29.70342687888045,0.2772198574796978,25761,0.0011586927768388,0.1248822593991669,-0.08997812795498378
5328,103.048,0.1119999999999947,0.2662120521449514,0.2661273872934335,-0.0040811104208647,23,29.70342687888045,0.2601942849945992,25762,0.0010275561608175,0.0742914974574296,-0.08197000057520784
5329,103.052,0.1159999999999996,0.2514565559911993,0.2503294551553568,-0.0034434782578641,23,29.70342687888045,0.245438788840847,25763,0.0008493316846781,0.0308890090448098,-0.07030697599462365
5330,103.056,0.1199999999999903,0.2389711361687936,0.2390214059243837,-0.0017131403549497,23,29.70342687888045,0.2329533690184414,25764,0.0006632679175695,-0.0037523432043792,-0.057099372989444896
5331,103.06,0.1239999999999952,0.2389711361687936,0.2375000843736562,0.0007262656794342,23,29.70342687888045,0.2329533690184414,25765,0.0004696246108303,-0.0309682961476822,-0.04213778932349857
5332,103.064,0.1280000000000001,0.2401061743344669,0.2353649426494177,0.000406126709629,23,29.70342687888045,0.2340884071841146,25766,0.0002508926920366,-0.0520159055528097,-0.023607024519125164
5333,103.068,0.1319999999999908,0.2537266323225458,0.2524751799860351,0.0099375369470132,23,29.70342687888045,0.2477088651721935,25767,9.102994093879158e-05,-0.0626584738081226,-0.008872273222078536
5334,103.072,0.1359999999999956,0.3070734261091881,0.3081052789870739,0.0136376555360436,23,29.70342687888045,0.3010556589588358,25768,0.0001597469378885,-0.0524895994573865,-0.015335043969352813
5335,103.076,0.1400000000000005,0.3365844184166924,0.3364256718200958,-0.001350668959385,23,29.70342687888045,0.3305666512663401,25769,0.0004315732059534,-0.026884223951099,-0.03904270520903294
5336,103.08,0.1439999999999912,0.2979931207838022,0.2977444177824668,-0.0162000901827908,23,29.70342687888045,0.2919753536334499,25770,0.0008315459151807,0.0050654359246099,-0.06909134681022419
